İl Adı,AKP,CHP,MHP,DEM,İYİ,ZP,YRP,TİP
ADANA,23.894192754042525,36.472228524967335,17.520920553231736,11.213436493849015,6.139689584708179,2.2094811752262222,2.4549778764065793,0.09507303756839593
ADIYAMAN,34.08307104418604,20.05680434555029,3.733670232913405,9.565803784429987,0.2878135555827554,0.36906451581577976,6.67755127803341,0.012116872732352318
AFYONKARAHİSAR,35.42838410353657,21.186362012152873,26.188176713980553,0.2288445370822289,5.325845920537145,1.6078996640812033,3.777992125572233,0.006045454661558908
AKSARAY,33.83001499629777,3.2942730404070115,32.117406718596854,0.3063382884891016,11.86735245373117,1.0744499108742218,2.753485458551565,0.006645561796980273
AMASYA,31.34771779311055,31.090248923167056,24.202456411733824,0.19750077641471978,3.085917538178253,1.0829281591408142,2.312955425036895,0.010454886577781304
ANKARA,29.664295586373434,42.48011050975476,9.826844560118818,2.5212115888003312,4.706017411102039,3.6866681084185684,3.7977172064495743,0.10107631971862092
ANTALYA,26.2324386233128,40.074669180342894,10.311628278377734,5.006255869179714,5.817002371898853,2.603083405970307,1.487496115176117,0.1805213270301224
ARDAHAN,22.21637947491211,24.335532191928273,2.3177268856025,11.394534815233017,1.5184908036388918,0.5085480895067043,1.528910268828761,0.03124334658719682
ARTVİN,30.41281294334827,31.35038474077764,4.909446151829052,0.5193150923563875,4.17101198412514,0.7582856540637866,2.5876628496973657,0.09266188991651908
AYDIN,22.395010585490276,42.875709748151266,17.29525317590647,6.908696517006982,7.528553698327131,2.018582734041667,0.9228508437832035,0.055342697293001106
AĞRI,17.43395633091547,7.0287274961928174,1.5477494797513744,47.16765008293451,0.6546590287942278,0.18451356644106676,2.8902399476120815,0.0
BALIKESİR,36.98761515432129,42.55106333080084,5.724861460873532,1.9029741421340036,6.734768940551485,1.9238145574391599,2.9233029294063786,0.08723674234846356
BARTIN,18.337186807823286,28.37994171304344,24.929189801125183,0.16361898982508177,0.6726193741558816,1.35870786476848,2.2140527167076876,0.0
BATMAN,19.091588207387737,5.8594023787112235,0.5552716187927493,71.4398586302254,0.18868922374508604,0.15725426277728174,1.7707818852270063,0.0
BAYBURT,35.00255352959856,1.3492415894778502,22.92243023559705,0.2100350105314571,4.57113152110305,1.0058228916806298,3.5584948943579415,0.004969856525363925
BOLU,27.00496502908528,26.331873639715802,23.12190439770139,0.7623748717976788,2.2160292185439667,1.5145654517871452,3.394159718831555,0.03101328501974878
BURDUR,29.66083616047203,30.134708713131854,18.696668086562397,0.3276519671470602,4.950707846591806,1.412788294969457,1.4244693967151694,0.0
BURSA,36.922620029332904,33.91261906276298,6.1873145250594215,4.431682531559229,5.570276139194349,4.041768960748321,5.284302560908326,0.033563649634339644
BİLECİK,28.86160496437308,30.686568233631267,13.051043321279746,1.67040093081256,10.13754496984766,1.9072455549576421,4.832858167384244,0.04013752097006322
BİNGÖL,24.604547435913997,3.8204398131672312,6.8231277298023825,21.020072288416607,0.46683474963975496,0.13907460910871944,10.616763534529628,0.0
BİTLİS,27.341271877271872,0.7666743304539291,1.6646709631400252,41.30379844008823,3.998509081240719,0.08473536653957792,4.896242607188497,0.0
DENİZLİ,32.71667739171585,44.057110576674916,6.9998796338314895,2.451317487609834,7.495497803397995,2.552822784890641,2.428092314859262,0.04876302028641672
DÜZCE,36.36578028228749,18.893994694788194,18.246813928121323,0.5328773520479186,2.1254823486295837,1.7801730819512778,7.977878558970579,0.019264163510246058
DİYARBAKIR,15.923197277915952,5.520632247565239,0.5235423195874457,75.18365431941396,0.5984169208960136,0.10199200571178882,2.1485649089096084,0.0
EDİRNE,24.67135253858642,41.09326853075126,4.8135185349139356,1.575020106486747,8.313556942431566,1.5803444716647015,0.6629211668829254,0.028402797957142917
ELAZIĞ,30.67432217011472,16.519641204556795,14.06654809683075,5.890023305450658,0.9204579798433411,0.6514826223276261,7.831603698430246,0.0
ERZURUM,37.821446828546314,6.452271884837084,10.16937376133852,10.858764688101529,8.105251650588723,2.8347718584326853,9.118416905307049,0.006535722214496624
ERZİNCAN,19.884180533518002,28.725932196902406,41.198934010102874,0.8845082967539313,1.1211813956789987,1.1436753147641172,2.6005560274119723,0.04601968157597054
