,AKP,CHP,MHP,DEM,TİP,Cumhur,Emek ve Özgürlük
Oca 2024,281,170,73,73,3,354,76
Şub 2024,283,175,69,73,0,352,73
Mar 2024,265,255,29,50,1,294,51
Nis 2024,241,223,66,67,3,307,70
May 2024,240,224,66,67,3,306,70
Haz 2024,246,217,69,68,0,315,68
Tem 2024,236,228,67,68,1,303,69
Ağu 2024,235,240,67,57,1,302,58
Eyl 2024,235,226,67,69,3,302,72
Eki 2024,242,223,64,68,3,306,71
Kas 2024,244,227,59,67,3,303,70
Ara 2024,260,206,62,68,4,322,72
Oca 2025,244,225,61,67,3,305,70
Şub 2025,243,224,62,66,5,305,71
