İl Adı,AKP,CHP,MHP,DEM,İYİ,ZP,YRP,TİP
ADANA,23.196731847426342,36.75859840790896,14.435278734740464,10.676447401888648,7.502275837123386,3.937049406733031,2.105576901734667,0.9477942531247082
ADIYAMAN,33.000867573003916,20.160930820172847,3.0680074469274756,9.083677429025911,0.35075999606204283,0.6558961003425289,5.712062555817587,0.12047569654805089
AFYONKARAHİSAR,34.30346433895565,21.296352674094603,21.519179833204223,0.21731053689740681,6.490638324286713,2.8575359434970427,3.2317426640578883,0.06010877372313342
AKSARAY,32.755846544409344,3.31137551756299,26.39130850925876,0.29089852348050194,14.46280906230889,1.9094967854009233,2.3553665903727294,0.06607552164071336
AMASYA,30.352367081745342,31.25165639166168,19.887486540876615,0.18754653402504295,3.76082502906283,1.9245642051540854,1.9785315793964764,0.10395089315628599
ANKARA,28.72239678822444,42.70064933900942,8.074851395410455,2.3941399300141324,5.735249839931298,6.551893048357696,3.248615749894096,1.0049820850309708
ANTALYA,25.39950792587309,40.282719972060384,8.47320474880958,4.7539354211733995,7.089213449063779,4.626162043967685,1.2724231544836535,1.7948882600428484
ARDAHAN,21.510966428250917,24.46187201813152,1.9045076028109464,10.820238533833756,1.850593267666572,0.9037842828287129,1.3078493498823076,0.3106464865752507
ARTVİN,29.447147270409495,31.51314272479528,4.034158459234852,0.4931410772473127,5.083235722390436,1.347614257487651,2.2135198151843536,0.9213190546554676
AYDIN,21.758638352646024,43.24679901653191,14.26071104593265,6.58309549584671,9.20670374412492,3.5997564278546044,0.7921383532337062,0.5521575638294748
AĞRI,16.880394475139784,7.065217686885811,1.2718067300094833,44.79035197605985,0.7978366338475632,0.3279148319677428,2.4723481250368256,0.0
BALIKESİR,35.7805905310542,42.73304055355936,4.699914632847855,1.8054175446212701,8.200230277708128,3.4158634416220606,2.4983546108624,0.8665884077247323
BARTIN,17.754945636262942,28.52727840884306,20.48465321910351,0.15537242434904075,0.8197250075746833,2.4146758949083105,1.8939289408851638,0.0
BATMAN,18.485393331297225,5.889821926241266,0.45627421685667124,67.83921623276844,0.22995661633715558,0.27946999317957305,1.5147494163615245,0.0
BAYBURT,33.89115470990707,1.3562462831322326,18.835671678912934,0.19944902984266108,5.570863648498886,1.7875338430472973,3.0439819321187334,0.04941431175045912
BOLU,26.147505123088543,26.468577629298203,18.999582302141217,0.723950393659236,2.700687250105415,2.6916637362031515,2.9034075263757297,0.30835902939058996
BURDUR,28.719047205790886,30.291155419596944,15.36330563332723,0.31113797079907834,6.03345544742963,2.5107868504556397,1.2185092954136172,0.0
BURSA,35.75025538211316,34.088679087450146,5.084200225297484,4.208321171092449,6.78852680407026,7.182973128642766,4.520259828040577,0.33371680611906485
BİLECİK,27.945193147027187,30.845879962129104,10.724219227206728,1.5862110048026754,12.354682970031723,3.389529115599831,4.134088534266233,0.3990795235200597
BİNGÖL,23.8233054343499,3.8402739264386714,5.606656555213931,19.960639012225027,0.5689341303390514,0.24716137656702486,9.081714976723665,0.0
BİTLİS,26.47313357794555,0.7706545804398393,1.3678826979886582,39.222044490809324,4.873005466161129,0.15059046343579063,4.188308392737163,0.0
DENİZLİ,31.590395923984993,44.16356183603444,5.736014811948022,2.321341515874987,9.109583749353137,4.524313230468375,2.071286418383092,0.4835025139529577
DÜZCE,35.21109637476293,18.99208435180487,14.993654372762757,0.5060197850927601,2.5903372713829316,3.163697761096603,6.824379101582366,0.1915398113504718
DİYARBAKIR,16.137349588521214,5.8083523428711885,0.45028506128588947,74.72724310113803,0.7633399130063167,0.18972046651162172,1.9237095266657396,0.0
EDİRNE,23.887989345715617,41.30660746097693,3.9553334359461894,1.4956374721842767,10.131778520593013,2.808565255512525,0.5670712237384805,0.28240346691633916
ELAZIĞ,29.7003530730923,16.60540421899442,11.558673268250889,5.593160069125014,1.1217673077677326,1.157805459788244,6.699253719692981,0.0
ERZURUM,36.62054269083173,6.485769360960362,8.356312283645396,10.311471772498741,9.877915691934515,5.037915398604258,7.800010154093178,0.06498340814735858
ERZİNCAN,19.252819317062837,28.875065129466194,33.85372260094852,0.8399281683038002,1.366390061569303,2.0325231683509517,2.22454880389334,0.4575646963742778
ESKİŞEHİR,32.13536854894261,44.27251561387327,4.780565057844459,1.8139943198481816,6.467523625711256,5.97678738701932,1.6296454828140166,0.6425189903821954
GAZİANTEP,35.02445056744548,23.915237618512393,5.042417500706396,8.826296875367165,2.814970415183141,4.955793284570956,6.9895788710102185,0.1595801968672686
GÜMÜŞHANE,27.152560655817343,1.6261775208066098,26.348439974668175,0.12638353866761354,5.605452870638152,1.0543472976577106,2.4018157547563113,0.060501871916081515
GİRESUN,30.58648287503155,23.60553377388249,11.863090157801679,0.1217328462827897,5.886469664348087,2.0621036360134095,2.7213368232338113,0.11797777216264144
HAKKARİ,18.062027221575182,4.746060560780324,1.5739771245624046,61.80495136489716,0.11826854915326036,0.5624933003746172,2.6533243856063287,0.0
HATAY,30.66662771932535,33.6421622683934,9.221871160918957,2.3626116230779965,4.528329356921019,2.482893494585696,2.721405390191904,6.216412000816581
ISPARTA,28.135360764008304,20.728327642394,18.36109801802885,0.5662827720090275,12.78806774932092,4.125743182238381,1.8522806980325248,0.08550794944606686
IĞDIR,24.824156844252084,5.042179505941795,3.3139214512141404,43.83317224785955,3.4405917482747266,0.0,1.0528991646535466,0.0
KAHRAMANMARAŞ,39.504300656222014,15.485094172346505,7.743926109092501,0.9772966527862184,5.137294166141197,2.949639625087072,13.397675998427747,0.10945451879114693
KARABÜK,27.799469513094856,19.543534547513776,17.584517552995408,0.19388768488125613,4.079450079156391,3.304563645843822,8.189791140974453,0.08473125223859843
KARAMAN,29.398500610889727,20.31072585406191,31.72580660992695,0.2536880721182402,4.303933645583514,2.9968946298849204,2.527271389751418,0.07493546524274637
KARS,12.36667944594037,13.266657451197169,14.536144320897165,23.928140523345665,6.872163382847393,0.4128416317354526,1.7464437965014283,0.0
KASTAMONU,29.968019226508684,21.414773552982492,17.43273547840292,0.10887340919141485,2.708917072606924,2.2873084603670164,3.473474066928524,0.0
KAYSERİ,35.48774959300214,18.029914459279652,10.400757769576769,0.649225035749144,12.123253681206254,6.706415102768972,7.969017474685787,0.26768917187256486
KIRIKKALE,26.968022217069333,29.756690066680758,23.034000811889975,0.2121153850045453,3.9169491671149776,2.3942751715404453,2.522571416199681,0.0
KIRKLARELİ,20.119251600988626,49.28428661170325,10.193890800288774,1.0963825860893546,7.237271307545089,2.8145655302929,0.6117027047127856,1.0114004929614497
KIRŞEHİR,29.673914884194602,31.378974827151655,9.905591835006414,1.9787647401262507,4.722460516181618,2.771549128992752,1.71941122636871,0.10305579575604755
KOCAELİ,37.449275409726184,29.105022595070444,3.657154778507103,5.363823670049292,7.178862503927149,6.346489777611064,6.639352159700433,1.541230869967148
KONYA,40.21720293786191,14.74503426610011,9.37880736004162,2.739637833526718,4.927736177393482,5.6177376453944925,9.80462754927609,0.1843811232741413
KÜTAHYA,33.1324118113659,17.587612032465636,22.6968117304733,0.1409976367351426,4.755704318552692,2.3295827987413884,7.874513659013735,0.17482829353817136
KİLİS,27.47240203654061,24.74755453578035,24.007895694486017,0.4242009657426121,2.6159755792282393,2.6963266811942934,2.4040697990172775,0.0
MALATYA,40.54083679979155,24.40383483638893,6.159284338456957,2.1258027270831708,1.8577259903578442,1.5978998866992482,9.8324438240901,0.35553409533852376
MANİSA,24.51254772273487,40.596364720607454,16.74999769836957,4.438867055782081,7.428995695956979,3.6292974762605015,2.4315660656535547,0.21236356463499814
MARDİN,21.264975023924837,4.89957426542939,1.2446973507209962,68.9110455943093,0.7405973558938621,0.5877050864989876,2.3514053232226257,0.0
MERSİN,14.720258537378053,40.020199441014206,22.22024436589457,10.177354668887272,7.716438695871957,3.178907150648813,0.995492233001528,0.971104907303604
MUĞLA,23.592081991097054,46.79580157161289,7.821662788929159,3.5361330315899324,10.57824066129819,3.3271975560693883,0.7045832581409225,2.95869541239339
MUŞ,16.748534187055277,1.0753999081161147,7.475217752828485,41.36225489690892,2.7453718108848713,0.14020238530422974,3.8055529753581014,0.0
NEVŞEHİR,30.95505288892881,16.549461787921302,24.936168532751662,0.3450546115952316,14.027526147114067,2.20251211965166,1.867601081771583,0.6394914997591008
NİĞDE,29.88564850143751,23.638415312095212,25.23806486096446,0.225693717790718,6.140496928492842,2.217550008200048,2.6641691646842784,0.055853190825597955
ORDU,40.92739077041545,27.149246735822143,6.8104046217578444,0.15124310379160708,16.196949686335817,2.300838867413921,3.515271071761672,0.21423597490269466
OSMANİYE,25.192615939898182,20.11996498093333,28.52475583415981,2.0139952025525103,10.276771760199725,3.0467345817082903,1.723943456971145,0.07934656873326999
RİZE,38.24274594995042,18.937269664915657,12.47230105488006,0.16377498182156275,1.470282602606573,2.430860510952412,5.359476154856812,0.08304063104099473
SAKARYA,39.62003058892683,18.720930258284817,7.3581159227685236,0.9685201923357706,6.567835569563474,5.025979467021266,7.740166891067727,0.3383379564474076
SAMSUN,37.60037490704801,23.24225588887024,7.586524789812449,0.1923258070484574,11.788553363203977,3.794579240558324,7.362147142333011,0.35485670405673797
SİNOP,26.998506054974175,24.64277345440792,9.788873065755105,0.20901620688817238,4.531755596009444,1.311885641072187,2.9865379910365557,0.3853015388534951
SİVAS,28.018349226205647,14.027234152124146,17.175141870260095,0.26767051150550314,2.8635817100385883,2.541272989229568,3.4295390948909774,0.2217621521327784
SİİRT,28.943341516898602,4.773507368336033,2.5355784519434277,53.445510233333,0.7054265116908944,0.7310364083309886,1.367415950820267,0.0
TEKİRDAĞ,29.218499289905463,45.02465610471706,3.977340383816088,6.5059040450252335,7.179576146400706,4.469391137639386,2.2805628450374242,0.7367600487559028
TOKAT,28.521661098506897,18.816619562053088,32.6035449512097,0.1904976610032249,5.105036564113505,1.4140601771446055,2.3970808799751655,0.7414613023240594
TRABZON,40.82283819034579,23.05032987328791,6.379300368412384,0.17953956046705494,7.873271372633861,3.1396351718239472,6.380935257806862,0.1655727461683705
TUNCELİ,10.963938948148682,28.504359222636932,3.348541796908053,33.14156208091523,0.7496001200816391,0.4371382232937613,0.8110228335534695,0.6536111572867456
UŞAK,26.94777102349108,33.64426755548184,11.418178979008099,1.046863791580387,11.734084175529695,2.2457079446626182,1.4359527960665177,0.09619700300202158
VAN,21.953891732435178,5.758490545879396,1.8493732370853198,65.53132443118088,0.3087455085464014,1.1707262668939133,3.427448277978893,0.0
YALOVA,28.222668043861766,30.86588773713772,7.765914476099314,3.718558256954803,3.5500381603168303,3.3608494567237477,1.8623787930409812,0.4543342931547174
