İl Adı,AKP,CHP,MHP,DEM,İYİ,ZP,YRP,TİP
ADANA,23.15812735795964,36.277687319995486,16.10062941490877,11.414514959349377,6.796278145670029,3.217702098343308,2.0173184511397406,1.0177422526336446
ADIYAMAN,33.450530152388616,20.201901120210625,3.4743622787894326,9.860374554860623,0.3226184387608289,0.5442657801744935,5.556448839463367,0.13134822005874056
AFYONKARAHİSAR,34.77087581601342,21.33963033654731,24.369375882006587,0.23589160945756632,5.969892879039127,2.3711972503752827,3.1437003008414095,0.06553338693749101
AKSARAY,33.2021705210292,3.3181047727597073,29.886813626965335,0.3157717148572564,13.302454476458427,1.5845097372955572,2.2911993399403663,0.07203861364270238
AMASYA,30.765941774659588,31.315164855157953,22.52156627805852,0.20358264440827278,3.4590931490211543,1.5970127556286267,1.9246304449138896,0.11333210913745387
ANKARA,29.11376186362231,42.7874240237118,9.144358213061237,2.5988501497480687,5.275109391136629,5.4367927781884715,3.160113713211566,1.0956783139003603
ANTALYA,25.74559604685307,40.36458102988126,9.595473110472993,5.160419249653552,6.5204441802270985,3.8388118068681885,1.237758531344557,1.9568708454566068
ARDAHAN,21.804070136139423,24.51158253224457,2.156757924919879,11.745419798331373,1.7021197328622555,0.7499646019336446,1.2722196109258672,0.33868127969599815
ARTVİN,29.848387636828388,31.577182571173605,4.568479125258196,0.5353069577865222,4.675406520191661,1.1182568776407602,2.1532168963527436,1.0044649784359765
AYDIN,21.7263963896501,42.688801959808096,15.90882882810731,7.039473865230833,8.341835747647993,2.94257427401382,0.7590733482648709,0.5930155872769771
AĞRI,17.110403025791708,7.079575361689905,1.4402563895601712,48.62013764565746,0.7338260123385544,0.2721053254600958,2.404993946734536,0.0
BALIKESİR,36.22389079030358,42.76765131801238,5.315922067555647,1.9573987707863492,7.533124082584548,2.8310427345774425,2.4273275782508854,0.9436426579291702
BARTIN,17.996870629112767,28.58525049188309,23.197827146675166,0.16865749709284594,0.7539582766735328,2.003709824047568,1.8423326360264596,0.0
BATMAN,18.604721249404484,5.86004093616639,0.5130520696117984,73.11885032146212,0.21001091253778376,0.23026503080897914,1.4630594800084318,0.0
BAYBURT,34.35294814644234,1.35900239680777,21.33043948195622,0.216502859576235,5.1239119426556945,1.4833042934183833,2.9610547343957916,0.053873785998504925
BOLU,26.503785289726974,26.522366096542992,21.516059920070713,0.785851555869741,2.484010474376246,2.2335556844856113,2.824309997093599,0.33618738724901875
BURDUR,29.110366640513597,30.352711988442966,17.398161671152916,0.33774173007453323,5.549389892336713,2.0834631632989606,1.1853134475007898,0.0
BURSA,36.23738051642123,34.1579528438338,5.7575979804992565,4.5681524160607525,6.24388169575586,5.960466103993522,4.3971143925950775,0.3638336174295905
BİLECİK,28.325968216170377,30.908563821731118,12.1446324355536,1.7218395030649414,11.363463838309583,2.812647776930965,4.0214635631164795,0.43509509866451296
BİNGÖL,24.147916566083982,3.8480779894750863,6.349253182247332,21.667367489953666,0.5232884107321873,0.20509571466578677,8.834301821740196,0.0
BİTLİS,26.833850686449473,0.7722206762549447,1.5490575332403538,42.575713691790575,4.482043087056627,0.1249607003699465,4.074206310019667,0.0
DENİZLİ,32.03213641071658,44.26892159507567,6.498036468404567,2.5207161028891174,8.381675636545989,3.7556216497754065,2.015569189067481,0.5273229475251807
DÜZCE,35.690875046757334,19.030679365158992,16.97955043300277,0.5492868557002191,2.382513900501154,2.625251818512591,6.638462546322353,0.20882563049749342
DİYARBAKIR,15.353870725774597,5.463143893898593,0.47864580310508387,76.14102052442713,0.659029908105492,0.14777405445798764,1.756515090231117,0.0
EDİRNE,24.213481846230835,41.39054922518979,4.479213798404737,1.623521507588734,9.318903537694325,2.330561134856901,0.5516225027727749,0.3078894231840711
ELAZIĞ,30.10504356621158,16.639149109008127,13.089609165154014,6.071401550503631,1.0317676518075634,0.9607526123921931,6.51674595512736,0.0
ERZURUM,37.11952616902058,6.49894950224771,9.463098343244878,11.193151087005658,9.085408183718082,4.180486746974869,7.58751448272787,0.07084794060602838
ERZİNCAN,19.515154007973205,28.933743971852817,38.337617765279575,0.9117459754998811,1.256764264314304,1.6865976293616562,2.1639454223297725,0.4988583602545005
ESKİŞEHİR,32.57323802856248,44.36248458724588,5.413746607723356,1.9690993624385877,5.94863267818794,4.959567297982634,1.5852490520252327,0.7005041527772412
GAZİANTEP,35.5016860446295,23.963837282359496,5.71028117154897,9.58098675382498,2.5891246741366443,4.112341416577917,6.799161778543141,0.17398176906808055
GÜMÜŞHANE,27.5225354885815,1.6294821787877518,29.83826719345597,0.1371899253984204,5.155726063335943,0.8749025253159204,2.3363830897699858,0.06596196091076076
GİRESUN,31.003247578367528,23.653504068999027,13.434345798417697,0.13214157695010714,5.414196813336285,1.7111436455703608,2.6471994459945334,0.12862486645908738
HAKKARİ,18.308136440716265,4.755705330007847,1.7824489815804363,67.08956527402596,0.10877983553057229,0.46675968161944864,2.581039871159448,0.0
HATAY,31.08448445872158,33.710528629765776,10.443299716707086,2.564626024342919,4.165020423441554,2.060317120676797,2.6472661449830333,6.77742212624096
ISPARTA,28.518727015367475,20.770450985327177,20.793008965764372,0.6147026113159247,11.762078054430896,3.4235617969185985,1.8018190162257548,0.0932247522315351
IĞDIR,25.16240535765687,5.052426037168223,3.7528473721601485,47.58111455064794,3.164552259960242,0.0,1.024215033421279,0.0
KAHRAMANMARAŞ,40.04257758759568,15.516562409602667,8.76960216967805,1.0608601112244753,4.725127842236681,2.4476253341698984,13.032683120241964,0.11933241834272434
KARABÜK,28.178258983981685,19.58325019761704,19.913571115357897,0.21046599347473577,3.7521548361158628,2.742143016099948,7.966676666446522,0.09237796073209867
KARAMAN,29.799078128601693,20.352000562042814,35.92786121170855,0.27537959496373116,3.958628033006226,2.486837767419645,2.458420936985565,0.08169813714239607
KARS,12.535185106156236,13.29361746316894,16.46144358552406,25.974109032934688,6.320808092070458,0.3425779977463872,1.698865429331662,0.0
KASTAMONU,30.37635687989406,21.45829186597768,19.741685641256886,0.11818259753055495,2.491580016275334,1.8980197062175659,3.3788462152667362,0.0
KAYSERİ,35.97129788103569,18.066554186464913,11.778328798267044,0.7047368285474017,11.150602175968832,5.56501593190809,7.751917536999603,0.2918472128562141
KIRIKKALE,27.335482569564768,29.817160514748714,26.084833539299908,0.2302522476535771,3.6026914106152574,1.9867812043864106,2.453849004810127,0.0
KIRKLARELİ,20.39339210805793,49.38444032125364,11.544062484623806,1.1901284516910733,6.656623321764845,2.335540192108342,0.5950380883410099,1.1026759614046688
KIRŞEHİR,30.07824513635392,31.44274202247678,11.2175785802271,2.1479584282957718,4.343576393958801,2.29984497269524,1.672569307488831,0.11235623222892208
KOCAELİ,37.95955101807416,29.164168748537385,4.141541645495218,5.822455811113576,6.602900670251945,5.266348143215149,6.458476293293272,1.6803217351727713
KONYA,40.76519371927611,14.774998580909667,10.62102197450487,2.973889748321585,4.532382740404462,4.661626072772065,9.537520087566323,0.20102089507181597
KÜTAHYA,33.583866783674644,17.62335292897211,25.702984066780864,0.15305359755688389,4.374153038216525,1.9330991581988664,7.6599882887141435,0.1906059548116996
KİLİS,27.84673495776811,24.797845603369232,27.187719924724558,0.46047214263577113,2.4060952408546292,2.237425018961283,2.3385757271046708,0.0
MALATYA,41.09323734518573,24.453427409481773,6.975076019226899,2.307568854416266,1.7086801955279163,1.3259451123751562,9.564578563624346,0.38761984309660485
MANİSA,24.418309261698614,39.97774532932725,18.641589199375417,4.735363656112932,6.715196495139588,2.959702350026561,2.3245555480314684,0.22753816028818064
MARDİN,20.309111451828375,4.625816540220675,1.3281002396600627,70.48049513475193,0.6418147355720125,0.45949821475047015,2.1551636832164762,0.0
MERSİN,14.486870900170118,38.93520042409841,24.431437842213366,10.726255125214092,6.890925318736513,2.561151849747859,0.9402075736703175,1.0279509661493202
MUĞLA,23.91354252293623,46.89089827364506,8.85763500296641,3.8384890304312087,9.729545915437551,2.760924745097702,0.6853882969147702,3.225707650993617
MUŞ,16.976746038358996,1.077585296146514,8.465303632875548,44.89892214951488,2.525109982293995,0.11634062251640392,3.701878298218019,0.0
NEVŞEHİR,31.37683964639007,16.58309299378985,28.23894166700712,0.37455840311315297,12.90209441232336,1.8276552894886302,1.8167220267609463,0.6972034413808196
NİĞDE,30.292863789399643,23.68645242786097,28.580823892846567,0.24499159172962098,5.647843410100899,1.8401338026840754,2.591589205928295,0.0608937520989345
ORDU,41.485058415382625,27.20441843372079,7.712436599469573,0.16417510021432224,14.897464588775616,1.9092473039172868,3.419504544325415,0.23357004592867991
OSMANİYE,25.535884996080505,20.160852031703502,32.302834134622096,2.1862012608906225,9.452263935453361,2.5281952023073346,1.6769780665360212,0.08650732778064309
RİZE,38.76383321374938,18.975753285884757,14.1242461318593,0.1777785127327303,1.3523214822543186,2.0171398973068353,5.213467949586075,0.09053476669826914
SAKARYA,40.159884430966166,18.758974242290787,8.33269177055918,1.051333222144199,6.040896571100466,4.170582252784808,7.529301529676645,0.36887181092125126
SAMSUN,38.11270936398713,23.289487944067258,8.591353186975619,0.2087705677442802,10.842754943505216,3.148760344386667,7.161580172701661,0.38688131954625216
SİNOP,27.36638177355511,24.69285158974777,11.085400514779572,0.22688807523789703,4.168171774558953,1.0886090976375515,2.9051757385617583,0.42007369755372476
SİVAS,28.400121104029346,14.05573978001597,19.449973990985317,0.2905575986551098,2.6338358733283354,2.108760709809201,3.3361081636427654,0.24177543515939373
SİİRT,29.33771713668223,4.783207913953577,2.871413541439098,58.01535262495685,0.6488299761012619,0.6066175738938546,1.3301634389946633,0.0
TEKİRDAĞ,29.61662414911967,45.116153550254744,4.504135546761976,7.062189427482873,6.603557057021351,3.7087225448694126,2.2184334729887607,0.8032501474343569
TOKAT,28.910290993448882,18.854858002332968,36.921855208253135,0.20678610661740457,4.695458275235941,1.1733940255558308,2.3317772071793077,0.808375673211881
TRABZON,41.37908122480138,23.097171903514678,7.224232974817628,0.19489103696739807,7.2415969514669944,2.6052845646797644,6.207099442883635,0.18051512564427635
TUNCELİ,11.113331174178338,28.562284730152065,3.792053151558774,35.97532144930352,0.6894595254610855,0.3627394278161163,0.7889281390461679,0.7125973501710081
UŞAK,27.314955437667017,33.71263819514099,12.930506533438004,1.1363755674458258,10.792655831618642,1.8634993955712738,1.3968331350121121,0.10487845666251328
VAN,21.024837700345074,5.451723307279967,1.978730947967367,67.20849032938376,0.268301600341344,0.9178565876869123,3.150059526995558,0.0
