İl Adı,AKP,CHP,MHP,DEM,İYİ,ZP,YRP,TİP
ADANA,22.461008052303757,39.74522217746255,16.674767974754197,8.9051597208742,6.00636102755915,2.8153626271856385,2.5479199409460804,0.844198478914423
ADIYAMAN,32.04160342274287,21.858633428942863,3.553673116194928,7.597366791039753,0.2815884931210025,0.47031081671070446,6.930970766592686,0.10760101851400765
AFYONKARAHİSAR,33.306336505957795,23.089666376452055,24.92566663500332,0.18175324578257518,5.210654252619048,2.048998404876087,3.9213705576320534,0.053685228303764584
AKSARAY,31.803704627776575,3.5902183400957077,30.56905342406632,0.24330044732667916,11.610675834971731,1.3692061778982683,2.8579828779808985,0.05901433758923667
AMASYA,29.47008913700125,33.88328183880724,23.03567624641178,0.15685935795380432,3.019172838165487,1.3800102831309902,2.4007343063165423,0.09284214409663953
ANKARA,27.88749856963773,46.29636644282855,9.353100609282048,2.0024003867938007,4.60423189140721,4.698040084344275,3.941844224285767,0.897584318132859
ANTALYA,24.661198930400108,43.67482916557491,9.814513310264331,3.9760759205474576,5.691187578249137,3.317193146899745,1.543948022326856,1.603076889639864
ARDAHAN,20.885688959819447,26.52174635186152,2.205991212464647,9.049784247665926,1.485647666417262,0.6480592337193212,1.5869338829122934,0.27744913962762024
ARTVİN,28.591182116115522,34.166787295654835,4.672765862224497,0.41245119863069235,4.0807979909818135,0.9663078675403289,2.685867141754449,0.8228619671665623
AYDIN,20.82104519867402,46.2113147874483,16.279616767839464,5.426420880093916,7.284352357999349,2.543928869230076,0.9472924649731562,0.4860286737417168
AĞRI,16.389717761067192,7.660162365062691,1.473133772852058,37.461560620211245,0.6404995381575096,0.2351315892162847,2.999927331331155,0.0
BALIKESİR,34.44299092238436,45.93467968365603,5.39728693227132,1.4970748645487815,6.5267257658712134,2.4283701646021165,3.0055202817994826,0.7673513848667023
BARTIN,17.23884760335445,30.929490658256757,23.727374427401397,0.12994971543362266,0.6580714227620439,1.7314452573096693,2.298078145154353,0.0
BATMAN,17.948062756973354,6.385789406044607,0.5285024388321755,56.73906989366405,0.18460810184902196,0.20039417930641637,1.8379847596070915,0.0
BAYBURT,32.906011829882914,1.4704524610882805,21.81735906080067,0.16681431586174472,4.472263421641444,1.2817525537696617,3.693543195542169,0.04413363380221202
BOLU,25.387453459966075,28.69743172797547,22.007216740516682,0.6054944951668809,2.168099160925332,1.9300596076469876,3.5229713421678426,0.2754061323661639
BURDUR,27.884246352351923,32.8418994322222,17.79531736786285,0.2602282286276539,4.843629965869599,1.8003616938835485,1.4785293793275698,0.0
BURSA,34.71107244927438,36.95920326773161,5.889029270801168,3.5197374368583043,5.449797738427272,5.1505565542756075,5.484846921650734,0.29805404129231355
BİLECİK,27.13288656451803,33.443335969919936,12.421863446932557,1.326668291078004,9.91828201498664,2.4304645290465428,5.016269779525204,0.35643174871968
BİNGÖL,23.13081325082362,4.163653988671855,6.494190453140971,16.694592817093564,0.45673767318364383,0.17722726025032615,11.019679914060244,0.0
BİTLİS,25.703616596908084,0.8355495152691458,1.5844185693938406,32.80436371936567,3.9120261192613532,0.10798101072768013,5.0820597197365664,0.0
DENİZLİ,30.476306548881848,47.57676414047366,6.60160769253636,1.9291180738255789,7.266441155894077,3.223450191752513,2.4972363642481112,0.42907583238784086
