,AKP,CHP,MHP,DEM,TİP
ADANA,4,8,2,1,0
ADIYAMAN,3,2,0,0,0
AFYONKARAHİSAR,3,2,1,0,0
AKSARAY,3,0,1,0,0
AMASYA,1,2,0,0,0
ANKARA,13,21,2,0,0
ANTALYA,6,10,1,0,0
ARDAHAN,1,1,0,0,0
ARTVİN,1,1,0,0,0
AYDIN,2,5,1,0,0
AĞRI,1,0,0,3,0
BALIKESİR,4,5,0,0,0
BARTIN,1,1,0,0,0
BATMAN,1,0,0,4,0
BAYBURT,1,0,0,0,0
BOLU,1,2,0,0,0
BURDUR,1,2,0,0,0
BURSA,10,10,0,0,0
BİLECİK,1,1,0,0,0
BİNGÖL,2,0,0,1,0
BİTLİS,2,0,0,1,0
DENİZLİ,3,4,0,0,0
DÜZCE,2,1,0,0,0
DİYARBAKIR,3,1,0,8,0
EDİRNE,1,3,0,0,0
ELAZIĞ,3,2,0,0,0
ERZURUM,5,1,0,0,0
ERZİNCAN,0,1,1,0,0
ESKİŞEHİR,2,4,0,0,0
GAZİANTEP,8,5,0,1,0
GÜMÜŞHANE,1,0,1,0,0
GİRESUN,2,2,0,0,0
HAKKARİ,1,0,0,2,0
HATAY,5,5,1,0,0
ISPARTA,2,1,1,0,0
IĞDIR,1,0,0,1,0
KAHRAMANMARAŞ,6,2,0,0,0
KARABÜK,2,1,0,0,0
KARAMAN,1,1,1,0,0
KARS,1,1,0,1,0
KASTAMONU,2,1,0,0,0
KAYSERİ,6,3,1,0,0
KIRIKKALE,1,2,0,0,0
KIRKLARELİ,1,2,0,0,0
KIRŞEHİR,1,1,0,0,0
KOCAELİ,8,6,0,0,0
KONYA,10,4,1,0,0
KÜTAHYA,3,1,1,0,0
KİLİS,1,1,0,0,0
MALATYA,4,2,0,0,0
MANİSA,3,6,1,0,0
MARDİN,2,0,0,4,0
MERSİN,2,8,2,1,0
MUĞLA,2,5,0,0,0
MUŞ,1,0,0,2,0
NEVŞEHİR,1,1,1,0,0
NİĞDE,1,1,1,0,0
ORDU,4,2,0,0,0
OSMANİYE,2,1,1,0,0
RİZE,2,1,0,0,0
SAKARYA,5,3,0,0,0
SAMSUN,5,4,0,0,0
SİNOP,1,1,0,0,0
SİVAS,3,1,1,0,0
SİİRT,1,0,0,2,0
TEKİRDAĞ,3,5,0,0,0
TOKAT,2,1,2,0,0
TRABZON,4,2,0,0,0
TUNCELİ,0,1,0,0,0
UŞAK,1,2,0,0,0
VAN,3,0,0,5,0
YALOVA,1,2,0,0,0
YOZGAT,3,0,1,0,0
ZONGULDAK,2,3,0,0,0
ÇANAKKALE,1,3,0,0,0
ÇANKIRI,1,0,1,0,0
ÇORUM,2,2,0,0,0
İSTANBUL,41,50,2,4,1
İZMİR,9,18,0,1,0
ŞANLIURFA,8,1,0,5,0
ŞIRNAK,1,0,0,3,0
