,AKP,CHP,MHP,DEM,TİP,İYİ,ZP
ADANA,4,7,2,1,0,1,0
ADIYAMAN,3,2,0,0,0,0,0
AFYONKARAHİSAR,2,2,2,0,0,0,0
AKSARAY,2,0,2,0,0,0,0
AMASYA,1,1,1,0,0,0,0
ANKARA,11,19,3,0,0,1,2
ANTALYA,5,9,2,0,0,1,0
ARDAHAN,1,1,0,0,0,0,0
ARTVİN,1,1,0,0,0,0,0
AYDIN,2,5,1,0,0,0,0
AĞRI,1,0,0,3,0,0,0
BALIKESİR,4,5,0,0,0,0,0
BARTIN,0,1,1,0,0,0,0
BATMAN,1,0,0,4,0,0,0
BAYBURT,1,0,0,0,0,0,0
BOLU,1,1,1,0,0,0,0
BURDUR,1,1,1,0,0,0,0
BURSA,8,9,1,0,0,1,1
BİLECİK,1,1,0,0,0,0,0
BİNGÖL,2,0,0,1,0,0,0
BİTLİS,1,0,0,2,0,0,0
DENİZLİ,3,4,0,0,0,0,0
DÜZCE,1,1,1,0,0,0,0
DİYARBAKIR,2,1,0,9,0,0,0
EDİRNE,1,3,0,0,0,0,0
ELAZIĞ,3,1,1,0,0,0,0
ERZURUM,4,0,1,1,0,0,0
ERZİNCAN,0,1,1,0,0,0,0
ESKİŞEHİR,2,4,0,0,0,0,0
GAZİANTEP,7,5,1,1,0,0,0
GÜMÜŞHANE,1,0,1,0,0,0,0
GİRESUN,2,1,1,0,0,0,0
HAKKARİ,1,0,0,2,0,0,0
HATAY,4,6,1,0,0,0,0
ISPARTA,2,1,1,0,0,0,0
IĞDIR,1,0,0,1,0,0,0
KAHRAMANMARAŞ,5,2,1,0,0,0,0
KARABÜK,1,1,1,0,0,0,0
KARAMAN,1,1,1,0,0,0,0
KARS,0,1,1,1,0,0,0
KASTAMONU,1,1,1,0,0,0,0
KAYSERİ,5,3,1,0,0,1,0
KIRIKKALE,1,1,1,0,0,0,0
KIRKLARELİ,1,2,0,0,0,0,0
KIRŞEHİR,1,1,0,0,0,0,0
KOCAELİ,7,6,0,0,0,1,0
KONYA,9,3,2,0,0,0,1
KÜTAHYA,2,1,2,0,0,0,0
KİLİS,0,1,1,0,0,0,0
MALATYA,4,2,0,0,0,0,0
MANİSA,3,5,2,0,0,0,0
MARDİN,1,0,0,5,0,0,0
MERSİN,2,6,4,1,0,0,0
MUĞLA,2,5,0,0,0,0,0
MUŞ,1,0,0,2,0,0,0
NEVŞEHİR,1,1,1,0,0,0,0
NİĞDE,1,1,1,0,0,0,0
ORDU,3,2,0,0,0,1,0
OSMANİYE,1,1,2,0,0,0,0
RİZE,2,1,0,0,0,0,0
SAKARYA,5,2,1,0,0,0,0
SAMSUN,4,3,1,0,0,1,0
SİNOP,1,1,0,0,0,0,0
SİVAS,2,1,2,0,0,0,0
SİİRT,1,0,0,2,0,0,0
TEKİRDAĞ,3,5,0,0,0,0,0
TOKAT,2,1,2,0,0,0,0
TRABZON,4,2,0,0,0,0,0
TUNCELİ,0,1,0,0,0,0,0
UŞAK,1,2,0,0,0,0,0
VAN,2,0,0,6,0,0,0
YALOVA,1,2,0,0,0,0,0
YOZGAT,2,0,2,0,0,0,0
ZONGULDAK,2,3,0,0,0,0,0
ÇANAKKALE,1,3,0,0,0,0,0
ÇANKIRI,1,0,1,0,0,0,0
ÇORUM,1,2,1,0,0,0,0
İSTANBUL,37,46,3,5,1,2,4
İZMİR,7,16,1,2,0,1,1
ŞANLIURFA,7,1,1,5,0,0,0
ŞIRNAK,1,0,0,3,0,0,0
